"","gene_id","gene_short_name","partition","marker_score","mean_expression","fraction_expressing","specificity","pseudo_R2","marker_test_p_value","marker_test_q_value","partition_assignment"
"1","ENSG00000169442","CD52","1",0.234068553872306,5.01422277250364,0.883346030778607,0.264979459596361,0.113563545948702,2.31025215238365e-156,7.71416296202425e-151,"B1"
"2","ENSG00000143297","FCRL5","1",0.321212186362439,0.938461406024768,0.446838336126771,0.718855479471012,0.117437851283379,1.15259485572563e-161,3.84862948275344e-156,"B1"
"3","ENSG00000215845","TSTD1","1",0.246067457962731,1.18220983159672,0.638427548377266,0.385427381052363,0.107821666342253,1.64949979716225e-148,5.50784477270446e-143,"B1"
"4","ENSG00000132185","FCRLA","1",0.339524819750207,0.813564374145135,0.513423739143684,0.661295522323304,0.127636425821382,1.24230589778316e-175,4.14818362328773e-170,"B1"
"5","ENSG00000198771","RCSD1","1",0.223582356232615,1.74496465784752,0.700716135913454,0.319076933972917,0.0825465305821221,5.40338738919762e-114,1.80424508312698e-108,"B1"
"6","ENSG00000116191","RALGPS2","1",0.226275362728892,1.55495588061387,0.675453298796282,0.3349977905684,0.130302582168922,2.75556557903598e-179,9.20110902495903e-174,"B1"
"7","ENSG00000162894","FCMR","1",0.412148551787082,2.85074113439615,0.824744781349992,0.499728596175477,0.254668803553944,0,0,"B1"
"8","ENSG00000239951","IGKV3-20","1",0.297189180395557,5.86618305257907,0.3468535730611,0.856814527735038,0.0845013766816654,1.16490314947967e-116,3.88972810642758e-111,"B1"
"9","ENSG00000244575","IGKV1-27","1",0.310758297930166,22.5230499728109,0.384184062166692,0.808878682206583,0.0792566646072053,1.65522433862845e-109,5.52695958911427e-104,"B1"
"10","ENSG00000139193","CD27","1",0.24436682310108,0.98805611773924,0.540118848087765,0.452431578653913,0.0916870590643895,1.82280822985417e-126,6.08653896030606e-121,"B1"
"11","ENSG00000089220","PEBP1","1",0.264503570857867,2.36676073469958,0.795886027731221,0.332338502802806,0.137168725815139,1.05936003777536e-188,3.53730910213571e-183,"B1"
"12","ENSG00000100721","TCL1A","1",0.236601446055791,1.85034871329272,0.669206155721469,0.353555394003678,0.1784331440398,1.93588943415197e-245,6.46412840957684e-240,"B1"
"13","ENSG00000211893","IGHG2","1",0.266060208658227,0.766657205062225,0.485662044796587,0.547829939582086,0.101092776043408,2.60002701416032e-139,8.68175020298271e-134,"B1"
"14","ENSG00000211897","IGHG3","1",0.239649738810676,2.07298407785818,0.760627761694347,0.315068356533346,0.143457828057715,2.48193371557712e-197,8.28742486968357e-192,"B1"
"15","ENSG00000211899","IGHM","1",0.26696417601999,3.64297416388401,0.808685052567423,0.330121318766099,0.159608161798617,1.60049023048485e-219,5.34419692861197e-214,"B1"
"16","ENSG00000211955","IGHV3-33","1",0.235553394518144,1.75491062231148,0.27060795367972,0.870459982107307,0.0643413429758097,3.47602386962773e-89,1.16067913030739e-83,"B1"
"17","ENSG00000211964","IGHV3-48","1",0.271968044533217,3.50992151478386,0.329696785006857,0.824903538345272,0.0736200131605765,7.98000403227537e-102,2.66460314641707e-96,"B1"
"18","ENSG00000007312","CD79B","1",0.358615744529883,1.08356129226824,0.600365686423892,0.597328849131927,0.150604572923771,3.80361689494481e-207,1.27006571739102e-201,"B1"
"19","ENSG00000104921","FCER2","1",0.41383136859195,2.10091133380705,0.751241810147798,0.550863068324876,0.209645053478871,1.55075520935417e-288,5.17812671955451e-283,"B1"
"20","ENSG00000270164","LINC01480","1",0.23935017161516,0.531183669843586,0.347005942404388,0.689758134851277,0.0773272552892277,7.06685805406786e-107,2.3596945728338e-101,"B1"
"21","ENSG00000105369","CD79A","1",0.307210412106068,3.82059027203347,0.865762608563157,0.354843705500198,0.231786115655743,3.33262100089296e-319,1.11279547840817e-313,"B1"
"22","ENSG00000104894","CD37","1",0.222341714224824,7.09620559114702,0.958494590888313,0.231969712023896,0.126900276896794,1.26749061858178e-174,4.23227792450643e-169,"B1"
"23","ENSG00000142546","NOSIP","1",0.296004156270284,1.61701515044221,0.698217278683529,0.423942754364934,0.126429202177317,5.60269631772618e-174,1.87079632745195e-168,"B1"
"24","ENSG00000254709","IGLL5","1",0.444393355302288,3.27610718655498,0.642511046777388,0.691650917958859,0.168407268963519,1.25039668336518e-231,4.17519956542466e-226,"B1"
"25","ENSG00000211677","IGLC2","1",0.22676809503352,1.07930662666967,0.360018284321195,0.6298793836571,0.0747593867220814,2.23500716888556e-103,7.46291243762578e-98,"B1"
"26","ENSG00000116350","SRSF4","10",0.300125172721105,2.24116987621075,0.714285714285714,0.420175241809547,0.18329404620453,2.80005565304142e-09,0.000934966583107061,"B4"
"27","ENSG00000196352","CD55","10",0.328231456557701,2.72736197782361,0.80952380952381,0.405462387512455,0.260951315801681,1.3270256052329e-12,4.43107119843317e-07,"B4"
"28","ENSG00000162924","REL","10",0.373166254386491,5.8953005597524,0.857142857142857,0.435360630117573,0.321774070887339,3.40480974241526e-15,1.13690002108988e-09,"B4"
"29","ENSG00000172071","EIF2AK3","10",0.324133314634336,1.3660910677052,0.571428571428571,0.567233300610088,0.248291055008761,4.6059662167069e-12,1.5379781794206e-06,"B4"
"30","ENSG00000125633","CCDC93","10",0.295980245639602,1.41508056972383,0.523809523809524,0.565053196221058,0.220604324223765,7.03121522185173e-11,2.34779307472851e-05,"B4"
"31","ENSG00000153234","NR4A2","10",0.346411922930177,5.3291073817735,0.714285714285714,0.484976692102248,0.206549028890668,2.81230669961177e-10,9.39057330067368e-05,"B4"
"32","ENSG00000112149","CD83","10",0.509068450445236,9.90179142427119,0.952380952380952,0.534521872967498,0.489215939249165,2.68678374745002e-22,8.97143961111036e-17,"B4"
"33","ENSG00000168216","LMBRD1","10",0.398905410242337,3.11752541515138,0.80952380952381,0.492765506769946,0.332502933114562,1.19090857120964e-15,3.9765628101261e-10,"B4"
"34","ENSG00000092820","EZR","10",0.320240561218828,6.76818894581285,0.904761904761905,0.353950093978704,0.233596058739828,1.95546911733778e-11,6.52950692970257e-06,"B4"
"35","ENSG00000164548","TRA2A","10",0.301584657113763,2.25488186027906,0.666666666666667,0.452376985670645,0.215220958246533,1.19541564847369e-10,3.9916123918185e-05,"B4"
"36","ENSG00000042980","ADAM28","10",0.38710821959871,3.37943204630115,0.666666666666667,0.580662329398064,0.290184021536057,7.52745977812845e-14,2.51349409451487e-08,"B4"
"37","ENSG00000133789","SWAP70","10",0.309966490949961,2.21723780555813,0.619047619047619,0.500715100765321,0.210668382143796,1.87297015449269e-10,6.25403464286655e-05,"B4"
"38","ENSG00000251562","MALAT1","10",0.322463631302027,216.990853990009,1,0.322463631302027,0.471177598532132,1.55975681823499e-21,5.20818399176846e-16,"B4"
"39","ENSG00000136026","CKAP4","10",0.377831335826837,3.11177716783082,0.80952380952381,0.466732826609622,0.304845550762711,1.787981004981e-14,5.97024737373204e-09,"B4"
"40","ENSG00000253957","IGHV3-22","10",0.30407608238579,0.937399451848448,0.428571428571429,0.709510858900177,0.235112108290223,1.68436116177552e-11,5.62425035528465e-06,"B4"
"41","ENSG00000280411","IGHV1-69D","10",0.522560232283225,31.5561469422673,1,0.522560232283225,0.416679427886701,3.17985230063598e-19,1.06178448170536e-13,"B4"
"42","ENSG00000247982","LINC00926","10",0.374498479126937,3.32241209766742,0.80952380952381,0.462615768333276,0.270818985301138,5.0345802183428e-13,1.68109668070685e-07,"B4"
"43","ENSG00000101654","RNMT","10",0.322783753998369,1.93816071687266,0.714285714285714,0.451897255597717,0.248320136959065,4.59281280640662e-12,1.53358612418723e-06,"B4"
"44","ENSG00000131051","RBM39","10",0.300887356688537,4.17740833380162,0.952380952380952,0.315931724522964,0.251295135509865,3.42798741496838e-12,1.14463927773209e-06,"B4"
